parameter,raw_value,source_description,source_id,status,device_attribution,observation_time,operational_use
P001,0,Display mode - output frequency,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P002,1.5,Ramp-up time (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P003,1,Ramp-down time (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P004,0,Smoothing time (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P005,5,Digital frequency setpoint (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P006,2,Frequency source - fixed frequencies,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P007,0,Keypad control disabled / terminal control,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P009,3,All parameters readable and adjustable,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P010,1,Display scaling,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P011,0,Frequency setpoint memory disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P012,0,Minimum motor frequency (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P013,60,Maximum motor frequency (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P014,0,Skip frequency 1 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P015,0,Automatic restart after mains failure disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P016,0,Start on the fly disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
